date ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
vi ,normal
setenv ,normal
ex3.out ,normal
setenv ,normal
ex3.out ,normal
vi ,normal
ex3.out ,normal
setenv ,normal
ex3.out ,normal
ex3.out ,normal
ex3.out ,normal
ex3.out ,normal
ex3.out ,normal
ex3 ,normal
ex3.out ,normal
cd ,normal
ls ,normal
vi ,normal
ex3 ,normal
ex3.out ,normal
setenv ,normal
vi ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
vi ,normal
exit ,normal
cd ,normal
cd ,normal
ls ,normal
vi ,normal
vi ,normal
vi ,normal
ls ,normal
vi ,normal
MCC -o ,normal
ls ,normal
ls ,normal
ls ,normal
cp ,normal
ls ,normal
cp ,normal
vi ,normal
ls ,normal
cp ,normal
cp ,normal
cp ,normal
vi ,normal
vi ,normal
vi ,normal
setenv ,normal
ex3.out ,normal
ls ,normal
setenv ,normal
ex3.out ,normal
limit ,normal
rlogin ,normal
exit ,normal
finger ,normal
ls ,normal
cd ,normal
cd ,normal
cd ,normal
vi ,normal
setenv ,normal
ls ,normal
vi ,normal
vi ,normal
ls ,normal
ex3.out ,normal
vi ,normal
ex3.out ,normal
ex3.out ,normal
ls ,normal
vi ,normal
ls ,normal
setenv ,normal
ex3.out ,normal
ls ,normal
vi ,normal
ls ,normal
ex3.out ,normal
ex3.out ,normal
vi ,normal
ex3.out ,normal
vi ,normal
vi ,normal
ex3 ,normal
ex3.out ,normal
vi ,normal
ex3.out ,normal
vi ,normal
ex3.out ,normal
vi ,normal
ls ,normal
vi ,normal
vi ,normal
ls ,normal
ex3.out ,normal
vi ,normal
vi ,normal
ex3.out ,normal
ls ,normal
vi ,normal
ls ,normal
cd ,normal
ls ,normal
vi ,normal
vi ,normal
ls ,normal
ll ,normal
rm ,normal
vi ,normal
ls ,normal
cd ,normal
ls ,normal
ll ,normal
rm ,normal
ex3.out ,normal
ls ,normal
MCC -o ,normal
vi ,normal
ls ,normal
MCC -o ,normal
MCC -o ,normal
ex3.out ,normal
ex3.out ,normal
vi ,normal
MCC -o ,normal
ex3.out ,normal
vi ,normal
MCC -o ,normal
ex3.out ,normal
ex3.out ,normal
ex3.out ,normal
vi ,normal
ls ,normal
cd ,normal
cd ,normal
ls ,normal
ll ,normal
more ,normal
vi ,normal
cd ,normal
exit ,normal
rlogin ,normal
rlogin ,normal
r ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
rm ,normal
cvd ,normal
cvd ,normal
setenv ,normal
xhost ,normal
rlogin ,normal
finger ,normal
r ,normal
finger ,normal
finger ,normal
finger ,normal
cls ,normal
finger ,normal
finger ,normal
finger ,normal
fg ,normal
exit -signal ,normal
setenv -signal -signal ,normal
finger ,normal
rlogin ,normal
cd ,normal
cvstatic ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
MCC -o ,normal
setenv ,normal
setenv ,normal
ex3.out ,normal
cd ,normal
ls ,normal
vi ,normal
vi ,normal
ls ,normal
dt1 ,normal
MCC -o ,normal
dt1 ,normal
finger ,normal
cd ,normal
cd ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cvd -signal -signal ,normal
setenv -signal -signal -signal ,normal
r ,normal
exit -signal ,normal
rlogin ,normal
rlogin ,normal
cd ,normal
ls ,normal
vi ,normal
ls ,normal
whereis ,normal
which ,normal
whence ,normal
cd ,normal
ls ,normal
ls -l ,normal
back ,normal
vi ,normal
ls ,normal
vi ,normal
vi ,normal
ls ,normal
vi ,normal
MCC -o ,normal
ex1.out ,normal
vi ,normal
MCC -o ,normal
& ,normal
ls ,normal
vi ,normal
MCC -o ,normal
ex2.out ,normal
vi ,normal
ls ,normal
MCC -o ,normal
ex2.out ,normal
more ,normal
vi ,normal
MCC -o ,normal
ex2.out ,normal
vi ,normal
MCC -o ,normal
ex2.out ,normal
ls ,normal
more ,normal
ls ,normal
mkdir ,normal
cp ,normal
vi ,normal
MCC -o ,normal
& ,normal
ls ,normal
MCC -o ,normal
cp ,normal
ex*.data ,normal
cp ,normal
cp ,normal
cp ,normal
cp ,normal
cd ,normal
ls ,normal
rm ,normal
cd ,normal
tar ,normal
tar ,normal
ls ,normal
more ,normal
ls ,normal
uuencode ,normal
ls ,normal
more ,normal
uuencode ,normal
> ,normal
ls ,normal
more ,normal
rm ,normal
uuencode ,normal
> ,normal
ls ,normal
more ,normal
rm ,normal
mail ,normal
mail -s ,normal
< ,normal
mail -s ,normal
< ,normal
ftp ,normal
finger ,normal
date ,normal
cls ,normal
rlogin ,normal
exit ,normal
man ,normal
man ,normal
man | less ,normal
man ,normal
man ,normal
man ,normal
man ,normal
cd ,normal
cvd -signal -signal ,normal
r ,normal
finger ,normal
rlogin ,normal
rlogin ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
cd ,normal
ls ,normal
cd ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
r ,normal
exit ,normal
exit ,normal
vi ,normal
vi ,normal
source ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
emacs ,normal
ls ,normal
cd ,normal
sl ,normal
ls ,normal
cd ,normal
ls ,normal
emacs ,normal
whereis ,normal
cd ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
ls ,normal
ls -l ,normal
path ,normal
$PATH ,normal
source ,normal
cd ,normal
cd ,normal
ls ,normal
vi ,normal
emacs ,normal
cd ,normal
ls ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
ls ,normal
cd ,normal
